host_is_superhost,host_identity_verified,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,neighbourhood,room
0,1,1.0,0.0,1.0,4,16,65,1.0,1.0,4,0.25,2,30,297,0,0,4,0,1,3,2
0,1,1.0,1.0,2.0,4,23,130,2.0,0.75,2,0.35,1,30,303,0,0,4,1,1,4,2
0,1,1.0,1.0,1.0,4,7,69,0.0,0.35,1,0.39,1,5,360,0,0,4,0,0,4,1
0,0,1.0,0.0,2.0,4,12,166,4.0,0.4,1,0.0,5,6,316,0,0,3,0,0,4,2
0,1,1.0,2.0,3.0,4,26,300,2.5,1.5,4,0.25,3,14,329,1,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,18,225,3.0,1.0,2,0.0,2,25,19,0,0,3,0,0,4,2
0,0,1.0,1.0,1.0,4,9,65,50.0,0.5,1,0.25,2,730,0,1,0,5,0,0,3,1
1,1,1.0,1.0,1.0,4,21,76,2.0,0.5,2,0.0,12,90,26,0,0,3,0,0,4,1
0,1,1.0,1.0,1.0,4,25,139,0.0,0.85,2,0.0,1,59,41,1,0,3,1,1,4,2
1,1,1.0,2.0,3.0,4,31,150,5.0,1.1,2,0.2,2,28,110,1,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,25,225,1.0,1.0,2,1.5,3,20,56,0,0,3,0,0,3,2
1,1,1.0,1.0,1.0,3,39,52,1.0,0.2,1,0.15,2,30,131,1,0,4,1,1,3,1
0,1,1.0,1.0,1.0,2,10,90,0.0,0.0,1,0.3,2,365,354,1,0,3,0,0,3,2
0,1,3.0,3.0,3.0,4,15,250,10.0,2.0,3,0.15,3,30,302,0,0,3,0,0,3,2
1,0,1.0,2.0,3.0,4,30,175,1.25,0.45,4,0.35,1,150,264,0,0,3,0,0,3,2
0,1,1.0,1.0,1.0,4,19,120,5.0,0.85,1,0.15,6,365,313,1,0,3,1,1,3,2
0,0,1.0,1.0,1.0,4,20,220,6.0,0.6,1,0.0,1,1125,327,0,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,21,65,1.0,0.25,1,0.1,3,365,153,0,0,3,0,0,4,1
1,1,1.0,1.0,3.0,4,33,77,1.0,0.3,2,0.22,1,9,334,0,0,3,0,0,1,2
1,1,1.0,0.0,2.0,4,45,120,3.5,0.75,2,0.35,2,120,176,1,0,3,0,0,3,2
0,1,2.0,3.0,4.0,4,9,495,5.0,1.6,5,0.4,1,1125,330,0,0,3,0,0,3,2
0,1,1.0,1.0,1.0,4,17,175,5.0,0.5,2,0.2,3,14,289,0,0,3,0,0,4,2
0,1,2.0,2.0,2.0,4,19,259,3.0,1.0,4,0.39,8,30,364,0,0,3,1,1,4,2
0,0,1.0,1.0,1.0,4,26,170,0.0,0.0,1,0.0,2,60,88,0,0,4,0,0,3,2
0,1,1.0,3.0,3.0,4,21,250,5.0,1.0,1,0.0,2,1125,0,0,0,4,0,0,4,2
1,1,1.0,1.0,2.0,4,31,129,0.0,0.3,2,0.25,2,21,310,0,0,3,0,0,2,2
0,0,1.0,1.0,1.0,4,9,95,4.0,0.7,1,0.5,1,30,365,0,0,3,0,0,4,1
0,1,1.0,1.0,1.0,4,9,55,1.0,0.35,1,0.0,3,31,337,0,0,5,1,1,4,1
0,1,1.0,1.0,1.0,4,15,239,5.0,1.25,1,0.0,2,14,245,0,0,3,1,1,4,2
1,1,1.0,1.0,1.0,4,33,125,2.5,1.15,2,0.25,2,365,35,0,0,3,0,0,3,2
1,1,1.0,1.0,1.0,4,35,175,0.0,0.5,2,0.0,3,1125,266,0,0,4,1,1,4,1
0,1,2.5,1.0,1.0,4,22,185,0.0,0.0,1,0.3,2,30,39,1,0,3,0,0,4,1
1,1,2.0,1.0,1.0,4,38,81,2.0,0.25,1,0.1,1,90,34,0,0,3,0,0,3,1
0,1,1.0,3.0,3.0,4,23,451,6.5,1.2,3,0.6,2,60,351,0,0,3,0,0,3,2
1,1,1.0,2.0,2.0,4,24,170,2.0,0.85,2,0.5,2,180,307,0,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,31,130,10.0,0.7,2,0.0,31,300,314,0,0,3,0,0,3,2
1,1,1.0,1.0,1.0,4,20,145,2.5,0.85,1,0.0,5,180,9,0,0,3,0,0,3,2
1,1,1.5,1.0,1.0,4,36,85,10.0,0.75,1,0.45,1,30,31,1,0,3,0,0,3,1
0,1,1.0,1.0,2.0,4,34,110,0.0,0.0,1,0.45,1,365,347,0,0,5,0,0,4,1
0,1,1.0,1.0,1.0,4,14,109,2.5,0.5,2,0.0,5,1125,30,0,0,3,1,1,3,2
0,1,1.0,1.0,1.0,4,26,160,2.0,1.0,2,0.3,3,90,319,0,0,4,0,0,3,2
0,1,1.0,2.0,2.0,4,34,215,3.0,0.75,3,0.2,3,6,153,0,0,3,1,1,3,2
0,1,1.0,1.0,2.0,4,23,130,2.5,0.5,2,0.5,3,21,324,0,0,3,1,1,3,2
